old,new
vamplre,vampire
won'em,won 'em
ityet,it yet
dondeys,donkeys
myselfthe,myself the
namastay,namaste
countin'cash,countin' cash
negociating,negotiating
lt'd,it'd
goin'out,goin' out
gettin'your,gettin' your
i'msure,i'm sure
i'mtryingtofigure,i'm trying to figure
i'oeil,i'oeil
i'really,i'm really
i'sitting,i'm sitting
i'soso,i'm so so
i'tl,i'll
i'venever,i've never
i'vve,i've
i'magine,imagine
i'il,i'll
i'mpraying,i'm praying
i'mready,i'm ready
i'mrelieving,i'm relieving
i'amour,l'amour
i'ts,it's
i'mjust,i'm just
i'lljust,i'll just
i'vejust,i've just
i'orange,l'orange
i'i,i'll
i't,it
i'amore,l'amore
i'am,i am
i'djust,i'd just
i'eveque,l'eveque
i'heure,l'heure
i'ii,i'll
i'm'a,i'mma
i'mnot,i'm not
i'oiseau,l'oiseau
i'v,i've
i'mright,i'm right
i'really,i'm really
i'thankful,i'm thankful
i'agent,i'agent
i'air,l'air
pigens,pigeons
9A,nine a
allready,already
alreadyjust,alread yjust
we'vealready,we've already
copsalready,cops already
levelrecalibrated,level recalibrated
lrepeat,i repeat
willremember,will remember
lreland,ireland
lreland's,ireland's
emplre,empire
entlre,entire
acqulred,acquired
requlred,required
admlre,admire
lnsplred,inspired
quagmlre,quagmire
slren,siren
tlre,tire
tlres,tires
umplre,umpire
lrene,irene
clalre,claire
magulre,maguire
lrene's,irene
alres,aires
argentlna,argentina
lsn't,isn't
lnspector,inspector
lnn,inn
lce,ice
martln,martin
mlke,mike
lt's,it's
lron,iron
offlcer,officer
lra,ira
thls,this
rlchard,richard
radlo,radio
benedlct,benedict
lsaac,isaac
lvan,ivan
wlth,with
lndependence,independence
frankensteln,frankenstein
l'm,i'm
klrby,kirby
slngs,sings
llke,iike
flnd,find
lnto,into
spanlsh,spanish
volce,voice
walters,waiters
lzzy,izzy
slmon,simon
erlc,eric
davld,david
audlence,audience
klm,kim
jlm,jim
jlmmy,jimmy
lnstead,instead
martlnez,martinez
hlm,him
lgor,igor
rlngs,rings
forelgn,foreign
lndeed,indeed
offlce,office
tlme,time
flrst,first
lnsurance,insurance
grlssom,grissom
alr,air
kltty,kitty
thlnk,think
lnfantry,infantry
hls,his
eddle,eddie
flne,fine
arablc,arabic
dld,did
blg,big
brlan,brian
jasmlne,jasmine
englne,engine
drlver,driver
lnez,inez
tlm,tim
nlna,nina
stewle,stewie
l've,i've
lvory,ivory
nlck,nick
chrls,chris
chrlstopher,christopher
kevln,kevin
playingfor,playing for
l'il,lil
doin'somethin'right,doin' somethin' right
doin'ourjob,doin' our job
doin'nothin'crazy,doin' nothin' crazy
goin'toail,goin' to jail
helpin'lookin'for,helpin' lookin' for
spinnin'S.U.,spinnin' s u
werejerkin'off,were jerkin' off
afewweeks,a few weeks
alwways,always
dowwnfall,downfall
eeww,eww
farawway,faraway
fewwords,few words
hewwing,hewing
howwas,how was
howwever,however
howwill,how will
kneww,knew
knewwhat,knew what
knewwhere,knew where
knowhowwe,know how we
knoww,know
knowwe,know we
knowwhat's,know what's
knowwhat,know what
knowwhatyougot,know what you got
knowwhere,know where
knowwho,know who
knowwhy,know why
lowwages,lowwages
meoww,meow
narrowworld,narrow world
netwwork,network
neww,new
newworld,new world
noww,now
nowwe're,now we're
nowwhat,now what
oww,ow
peww,pew
rawwrr,rawr
shadowws,shadows
throwwolfowitz,throw wolfowitz
wawwy,wawy
windowwaiting,window waiting
windowwas,window was
wwait,wait
wwas,was
wwater,water
wwe,we
offwithout,off without
wwee,wee
wwell,well
wwere,were
wwhat's,what's
wwhat,what
wwhen,when
wwhere,where
wwhole,whole
wwhy,why
wwill,will
wwiped,wiped
wwith,with
wwon't,won't
wwork,work
wworth,worth
wwould,would
wwouldn't,wouldn't
wwoz,woz
yeoww,yeow
yeowwww,yeow
"forthenext26,000years","for the next 26,000 years"
"yen10,000","yen 10,000"
"thatsome2,000yearshence","that some 2,000 years hence"
"ofover50,000","of over 50,000"
"for4,000","for 4,000"
"9,000lbs","9,000 pounds"
"66,000milesanhour","66,000 miles an hour"
"6,200rpm","6,200 rpm"
"58,000lb","58,000 pound"
"4,000km","4,000 kilometers"
"375,000km","375,000 kilometers"
"30,000ft","30,000 feet"
"3,000lbs","3,000 pounds"
"3,000lb","3,000 pound"
"3,000ft","3,000 feet"
"20,000ft","20,000 feet"
"14,000ft","14,000 feet"
"2,000ft","2,000 feet"
"1,800miles","1,800 miles"
"1,200years","1,200 years"
"1,000ft","1,000 feet"
"1,000km","1,000 kilometer"
"1,000lb","1,000 pound"
"1,000yds","1,000 yards"
nowforthe,now for the
forthe,for the
fortheir,for their
foryou,for you
foryourself,for yourself
foryour,for your
foryourhappiness,for your happiness
cleverforyour,clever for your
anotheryoung,another young
occasionalspeedbump,occasional speed bump
smackyou,smack you
ofcourse,of course
thankyou,thank you
